Epoch 1/40 | train_loss: 0.5881 | val_loss: 0.4723 | val_iou: 0.3950 | lr: 0.000100
Epoch 2/40 | train_loss: 0.4112 | val_loss: 0.3872 | val_iou: 0.4327 | lr: 0.000100
Epoch 3/40 | train_loss: 0.3518 | val_loss: 0.3610 | val_iou: 0.4473 | lr: 0.000099
Epoch 4/40 | train_loss: 0.3329 | val_loss: 0.3575 | val_iou: 0.4545 | lr: 0.000099
Epoch 5/40 | train_loss: 0.3219 | val_loss: 0.3538 | val_iou: 0.4595 | lr: 0.000098
Epoch 6/40 | train_loss: 0.3117 | val_loss: 0.3494 | val_iou: 0.4595 | lr: 0.000096
Epoch 7/40 | train_loss: 0.3091 | val_loss: 0.3394 | val_iou: 0.4681 | lr: 0.000095
Epoch 8/40 | train_loss: 0.3043 | val_loss: 0.3436 | val_iou: 0.4747 | lr: 0.000093
Epoch 9/40 | train_loss: 0.3134 | val_loss: 0.3508 | val_iou: 0.4476 | lr: 0.000090
Epoch 10/40 | train_loss: 0.2954 | val_loss: 0.3297 | val_iou: 0.4748 | lr: 0.000088
Epoch 11/40 | train_loss: 0.2960 | val_loss: 0.3396 | val_iou: 0.4602 | lr: 0.000085
Epoch 12/40 | train_loss: 0.2969 | val_loss: 0.3355 | val_iou: 0.4660 | lr: 0.000082
Epoch 13/40 | train_loss: 0.2802 | val_loss: 0.3333 | val_iou: 0.4753 | lr: 0.000079
Epoch 14/40 | train_loss: 0.2860 | val_loss: 0.3370 | val_iou: 0.4673 | lr: 0.000076
Epoch 15/40 | train_loss: 0.2849 | val_loss: 0.3496 | val_iou: 0.4503 | lr: 0.000073
Epoch 16/40 | train_loss: 0.2820 | val_loss: 0.3303 | val_iou: 0.4769 | lr: 0.000069
Epoch 17/40 | train_loss: 0.2746 | val_loss: 0.3341 | val_iou: 0.4725 | lr: 0.000065
Epoch 18/40 | train_loss: 0.2694 | val_loss: 0.3364 | val_iou: 0.4636 | lr: 0.000062
Epoch 19/40 | train_loss: 0.2759 | val_loss: 0.3334 | val_iou: 0.4750 | lr: 0.000058
Epoch 20/40 | train_loss: 0.2789 | val_loss: 0.3222 | val_iou: 0.4848 | lr: 0.000054
Epoch 21/40 | train_loss: 0.2631 | val_loss: 0.3176 | val_iou: 0.4926 | lr: 0.000050
Epoch 22/40 | train_loss: 0.2612 | val_loss: 0.3245 | val_iou: 0.4831 | lr: 0.000046
Epoch 23/40 | train_loss: 0.2633 | val_loss: 0.3217 | val_iou: 0.4876 | lr: 0.000042
Epoch 24/40 | train_loss: 0.2669 | val_loss: 0.3245 | val_iou: 0.4767 | lr: 0.000038
Epoch 25/40 | train_loss: 0.2607 | val_loss: 0.3244 | val_iou: 0.4863 | lr: 0.000035
Epoch 26/40 | train_loss: 0.2561 | val_loss: 0.3188 | val_iou: 0.4865 | lr: 0.000031
Epoch 27/40 | train_loss: 0.2521 | val_loss: 0.3221 | val_iou: 0.4873 | lr: 0.000027
Epoch 28/40 | train_loss: 0.2512 | val_loss: 0.3243 | val_iou: 0.4813 | lr: 0.000024
Epoch 29/40 | train_loss: 0.2553 | val_loss: 0.3274 | val_iou: 0.4811 | lr: 0.000021
Epoch 30/40 | train_loss: 0.2592 | val_loss: 0.3218 | val_iou: 0.4878 | lr: 0.000018
Epoch 31/40 | train_loss: 0.2545 | val_loss: 0.3192 | val_iou: 0.4897 | lr: 0.000015
Epoch 32/40 | train_loss: 0.2511 | val_loss: 0.3236 | val_iou: 0.4837 | lr: 0.000012
Epoch 33/40 | train_loss: 0.2488 | val_loss: 0.3197 | val_iou: 0.4890 | lr: 0.000010
Epoch 34/40 | train_loss: 0.2519 | val_loss: 0.3203 | val_iou: 0.4907 | lr: 0.000007
Epoch 35/40 | train_loss: 0.2455 | val_loss: 0.3214 | val_iou: 0.4892 | lr: 0.000005
Epoch 36/40 | train_loss: 0.2464 | val_loss: 0.3209 | val_iou: 0.4871 | lr: 0.000004
Epoch 37/40 | train_loss: 0.2523 | val_loss: 0.3204 | val_iou: 0.4874 | lr: 0.000002
Epoch 38/40 | train_loss: 0.2461 | val_loss: 0.3216 | val_iou: 0.4865 | lr: 0.000001
Epoch 39/40 | train_loss: 0.2438 | val_loss: 0.3204 | val_iou: 0.4870 | lr: 0.000001
Epoch 40/40 | train_loss: 0.2476 | val_loss: 0.3221 | val_iou: 0.4875 | lr: 0.000000
Training done. Best IoU: 0.4926
